0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202
7.52E-10,3.17E-06,1.18E-05,0.974027157,9.23E-07,0.000133435,8.36E-06,1.03E-12,0.999876738,1.67E-06,6.52E-05,0.99942708,3.24E-10,0.999117076,3.85E-06,2.83E-06,0.999960065,5.12E-09,0.999858141,0.999594629,0.999999404,9.53E-11,0.985922694,1,0.999896049,0.993563414,1,3.90E-06,1,0.999496222,0.999996662,2.85E-09,4.27E-06,4.26E-10,0.993331254,0.000739176,7.41E-15,0.999999046,1.09E-10,0.001778954,0.99999845,6.07E-06,0.999297261,0.999999762,3.24E-05,4.28E-12,0.999999881,1,7.21E-08,3.87E-05,2.21E-11,0.024519004,0.982427001,0.999622583,6.72E-13,5.29E-14,0.000799558,5.62E-06,0.000582503,8.15E-08,1.51E-10,1.30E-06,0.999999166,0.984764397,0.98858726,0.999985218,1,0.999979377,0.949474931,4.31E-06,2.29E-05,1.56E-13,0.003720137,0.99999547,5.46E-07,2.65E-12,0.018086007,0.999997497,0.998868883,6.31E-06,8.89E-05,0.000225025,0.00369465,1.53E-06,0.000302655,4.34E-07,0.00011186,1.28E-06,0.000216362,0.969648898,0.999542952,2.75E-06,0.994751632,0.915067732,2.19E-09,0.975985706,0.005856978,3.79E-09,1.02E-06,1.21E-06,1,0.000798518,1,1,0.999975562,0.999996066,0.999989748,1,0.999605715,0.999999881,0.99999702,1,0.999931574,0.983957529,1,0.997313201,0.99661237,0.999999404,1,0.999952197,0.998269796,1,0.99967134,0.999999166,1,1,0.999997735,1,0.998998106,0.999909043,1,0.000489456,0.999999285,0.000809189,0.998873055,0.000666565,0.999993563,1,0.999999881,0.998992026,0.999999881,0.999997735,1,0.999999762,0.999999046,3.80E-07,1,1,2.99E-07,0.999999642,0.996431589,0.999913812,0.999961257,1,1,0.993402541,0.001919556,0.99999249,0.999966979,0.99999845,0.999999642,0.999998093,0.991860569,1,0.999999881,0.980720222,1,0.066328853,0.001873962,0.439761907,1,1,0.999999642,0.999989867,1,0.997815132,6.27E-07,0.997215509,0.987643003,7.22E-13,1,1,1,0.999153852,0.999700785,0.004591723,0.999999881,0.997710943,1,0.989661336,0.999981284,0.999999881,1,7.88E-13,0.999999523,0.999874115,3.30E-07,0.00095086,0.999999881,0.990082204,0.998635471,1,0.005771963
0.99988234,0.989165604,0.015529964,0.200989977,7.64E-06,6.09E-06,0.985885143,0.000228732,0.999055088,0.000786349,0.001155086,0.961395264,0.999873161,0.089494951,0.991532266,0.000307503,0.051990751,0.002526387,0.115791425,0.005912602,0.737562776,0.999875307,0.01910121,7.72E-06,0.997414589,0.988247693,0.01018214,0.000598443,0.674221575,0.031871449,0.00083129,0.002521174,0.00071874,0.000100358,0.993599057,0.999998331,5.59E-06,5.96E-05,0.999914527,0.999943376,0.716064274,0.001072671,0.947267711,5.10E-05,0.99999547,0.001629445,0.584049284,0.985594869,0.999182284,3.45E-06,0.000257723,0.97363019,0.943096519,0.999957323,0.015863158,0.000156825,0.999934793,3.53E-05,0.999116361,0.999231815,0.999999762,0.000724868,0.682894468,0.963173151,0.16891396,0.724852026,0.934063852,0.810355961,0.999936819,0.001476818,0.999984622,0.000300001,0.96272254,0.000756068,3.03E-10,0.996375501,0.00014217,0.970596254,0.002098854,0.000975891,2.85E-06,0.003884231,0.999993086,0.001168683,0.999953628,2.46E-10,0.000263314,6.43E-05,3.42E-06,0.939791679,0.004950153,0.000777869,0.900657117,0.93851912,0.005026503,0.276226133,0.091327466,0.999112427,0.000888732,3.15E-05,0.99990797,0.99442035,0.000362945,0.88340044,0.999997973,0.995023847,0.999214888,0.985880554,0.999960542,0.999989867,2.97E-05,0.007015671,0.997511625,0.057557572,0.99996233,0.9763273,0.945136786,0.998999894,0.982347012,0.999901772,0.068187609,0.407554835,0.999977589,0.857991159,0.000525961,0.999524832,0.832203507,1.32E-08,0.994365096,0.995804846,0.002700095,0.999998808,0.999996185,0.999952793,0.993557751,0.135236502,0.999996662,0.000480076,0.998293579,0.06408067,0.999152184,0.90430975,0.995003283,0.027675776,0.999999762,0.054609761,0.00087613,0.841453493,0.445132107,0.997979939,0.127932906,0.981532991,0.016411759,0.003261233,0.999964118,0.999961853,0.999981284,0.757042527,0.000642872,0.999147058,1.84E-05,0.999976754,0.007866804,0.004661314,0.999957085,0.991066396,0.951451361,0.917890012,0.97519511,0.964042485,0.999991059,0.977223337,0.003303543,0.999990821,1.88E-08,0.980071366,0.050309382,0.994186401,0.996874213,0.00025033,0.990058243,0.000389542,2.02E-08,0.005177534,7.92E-08,0.999971986,1.02E-05,0.100220971,0.999998689,0.999430478,0.995969892,0.042448539,9.34E-07,0.996355176,0.016879451,0.998587489,0.999314904,0.979178429,9.17E-05,0.999993801,0.987533033,0.000425511,0.000257863
0.024949405,0.073852897,0.525166392,0.989278734,0.029803414,0.048810247,0.07007806,0.030397715,0.975152373,0.038606685,0.568961263,0.698191226,0.759969175,0.003275329,0.157670632,0.955784261,0.002015629,0.275540799,0.548560619,0.815579653,0.344821513,0.011033075,0.971945405,0.05549527,0.962062776,0.231029823,0.093059458,0.006263281,0.013963317,0.126321286,0.239194348,0.354871184,0.323377073,0.034241591,0.997950017,0.936390221,0.999814332,0.678983808,0.072109826,0.021194246,0.344536155,0.07465864,0.984815717,0.146870628,0.962636054,0.054230247,0.001564592,0.15071927,0.986536205,0.931319475,0.044533309,0.159959167,0.658694446,0.394158691,0.017370429,0.031745896,0.08802221,0.403259337,0.981752157,0.905439019,0.943621457,0.008686055,0.043860141,0.911212742,0.970059812,0.94607836,0.968851984,0.78993237,0.995631337,0.042066481,0.658699512,0.527717173,0.187511981,0.549509466,0.632371068,0.139719248,0.140364885,0.050706137,0.101971738,0.158847988,0.035132933,0.015780821,0.011836489,0.015003433,0.972760499,0.089654326,0.859879613,0.00306782,0.015940128,0.607593477,0.939978838,0.00487523,0.026079753,0.999989986,0.047755018,0.067931063,0.002507044,0.999141097,0.004408196,0.025483698,1,0.977152526,0.010301871,1,0.066464849,0.045416705,0.444293469,0.040756404,0.248962969,0.771267593,0.03524375,0.090496995,0.055125926,0.01216456,0.105990797,0.163460687,0.986035705,0.091922365,0.009768818,0.312352657,0.130512595,1,0.084929988,0.090239964,0.08785326,0.020153103,0.523521185,0.028571328,0.201977059,0.09550149,0.870577693,0.47683841,0.997828901,0.143836677,0.666265011,0.016729064,0.021468733,1,0.041995864,0.197561964,0.054742333,0.472014517,1,0.959768414,0.944381237,0.023191286,0.999992847,1,0.159793079,0.994691789,0.844316423,0.987533033,0.112683512,1,0.994106412,0.869423985,0.04772798,0.592862904,0.0245733,0.008618179,0.004031317,0.007104948,0.423455983,0.056069069,0.797454238,0.971184969,0.003952868,0.012237846,0.728666723,1,0.027087117,0.037434574,0.877945364,0.207182229,0.026482573,0.510105669,0.449334979,0.521956623,0.417170495,0.021792646,0.156900436,0.00241176,0.003437522,0.924530447,0.057166364,0.963917077,0.041713636,0.384551436,1,0.042988144,0.016278995,0.201772317,0.647136807,0.16511254,0.063849322,0.002700232,0.045196913,0.232740209,0.007536459,0.05562824,0.957940876,1,0.077092655
0.970719874,0.945759714,0.624330282,0.01314301,0.000132033,0.001455196,0.967344463,0.990108728,0.014285116,0.993607998,0.004801645,0.040141486,0.983452022,0.936183751,0.952556729,0.997104466,0.997031808,0.948062718,0.974755704,0.99257952,0.046182837,0.995123327,0.005588875,0.999987602,0.002933827,0.019578485,0.99529475,0.989536405,0.890763283,0.984342158,0.846575022,0.977665782,1.60E-10,0.028441917,0.017183302,0.998674929,3.27E-08,0.006063933,0.987631738,0.133311167,0.058172677,1.95E-10,0.015614187,0.997108519,1.69E-05,1.71E-05,0.927022874,0.999886751,0.86746037,0.003477075,7.94E-06,0.972301066,0.001752829,0.076154582,0.998610616,0.996843338,0.199172884,0.013050575,0.013305276,0.933073699,1,0.997992754,0.968901217,0.909522712,0.996653497,0.994345725,0.991650879,0.996235192,0.996032059,0.998094022,0.975990713,0.996615708,0.006100395,0.851286411,2.22E-05,0.010198893,0.999764144,0.999293327,0.999989867,1.72E-10,0.003265864,0.002708369,0.997565389,4.06E-10,0.11749617,3.81E-05,0.000211868,0.972082376,0.003824226,0.002218376,0.992101729,4.76E-10,0.001252692,0.000702611,0.987076223,0.889775753,0.996586919,0.011444754,9.19E-10,0.800464511,1.63E-10,0.999441803,0.999974012,1.70E-14,0.987871408,0.015371634,0.874238789,0.999803364,0.134144068,0.933935523,0.99985826,0.995720923,0.010374133,0.999960661,0.99818182,0.012834196,0.016469557,0.812487364,0.972041488,0.052545562,0.070803873,4.42E-13,0.131777078,0.999310255,0.999996066,0.999986529,0.269628495,0.99999392,0.989651859,0.043565627,0.920245588,0.99839288,0.998218358,0.193794861,0.004720697,0.001394482,0.422975451,2.00E-12,0.99557519,0.99432677,0.997007072,0.999730408,6.69E-15,0.997478545,0.989852369,0.010733345,0.36607632,2.07E-05,0.07727205,0.993249536,0.102406919,0.023346372,0.989328206,6.43E-09,0.978198886,0.999754727,0.009800067,0.103508003,0.913537562,0.990911067,0.008962859,0.00065579,0.002127776,0.95470947,0.994997859,0.020800415,0.907140076,0.995811939,0.021615306,4.36E-17,0.973925471,0.99956733,0.964995444,0.903764367,0.999993682,0.013972308,0.006330343,0.996327817,0.008906062,0.978988051,0.993644118,0.997450888,0.999980927,0.992193818,0.999946117,0.007927809,0.999981999,0.019221045,1.12E-05,0.939320445,0.008466978,0.992506325,0.99635148,0.00909645,0.999511957,0.966253817,0.945106864,0.028587116,0.996024132,0.998316288,0.045449443,0.027640291,0.999945641
0.05383604,0.988912582,1.73E-16,0.002252244,1,4.12E-15,0.99999547,9.39E-05,0.999998927,0.483159095,1,4.07E-11,2.12E-06,0.999992371,0.000129209,1,0.000220489,5.16E-05,1,2.92E-12,0.999945998,1,1.14E-14,0.996496618,3.54E-15,9.21E-12,0.99857235,0.01225534,0.999788582,0.999890447,3.15E-08,3.36E-10,1.46E-06,0.643858671,0.417642802,0.999952555,9.55E-08,1.22E-10,0.99927479,0.010972016,0.46689859,0.031813256,1.94E-13,0.471504182,0.999999881,0.999994755,0.999929428,0.531022429,3.78E-09,0.999884605,1,0.999249756,1.78E-13,0.000124978,0.999941468,0.999999285,0.991261959,1,0.999999404,9.40E-06,1,0.001975941,0.999405503,0.002337232,5.73E-10,1.38E-06,0.00014343,1.29E-15,0.993823647,0.991660893,1.96E-13,0.999999046,0.999949455,3.01E-05,8.45E-15,0.993255973,2.44E-08,1,0.000540314,0.688434005,0.916910589,0.409859657,0.99954021,0.999580085,0.999996066,1.66E-14,2.63E-12,2.22E-06,0.999995232,0.999932528,3.27E-15,1,0.999368966,0.003892971,2.19E-13,4.68E-14,0.999914765,8.18E-07,1,0.999999642,1.67E-15,1,0.999751627,8.04E-16,0.280836076,0.9992342,0.997188032,0.998290598,0.060513485,3.84E-08,0.997441292,0.924475253,0.999691248,0.999771297,0.998687327,1,0.999842763,0.999999881,0.999395967,0.584156394,0.999966025,1.60E-15,1.72E-14,1,0.999986649,0.998794675,0.998991191,0.93752259,0.990744174,0.999999881,1,0.999981046,1,0.999883533,0.999866962,0.999758065,1,7.80E-16,0.001033553,1,0.999866486,0.999999642,9.47E-16,1,0.999979377,0.999866247,6.37E-06,3.85E-05,0.948949873,1,1.26E-16,0.986890197,0.998811722,4.03E-15,1,1,0.999999762,0.992837965,0.999578655,0.999999881,0.999913812,0.999919295,0.918155074,0.998521984,1.33E-06,0.999995947,0.99961412,0.999999881,0.468137383,1.25E-15,0.99872309,0.996131778,1,0.99673444,0.999400139,0.999999881,7.98E-10,0.999668241,0.994223893,0.796579778,0.999999881,0.99978286,0.999998808,0.999997973,0.999353349,0.999999166,0.999715626,0.997847795,4.18E-05,0.999118984,0.999841213,0.611351848,0.036141794,0.999958277,0.999999881,0.000124233,0.999747694,0.999999881,1.47E-14,0.999596059,1,6.55E-05,9.87E-14
0.009086098,0.002981258,0.000820876,0.857076228,0.001591449,0.000324797,0.009211528,8.84E-05,0.01656916,0.000318707,0.021403652,0.001269364,0.036488663,0.999998927,0.004322927,0.006416024,0.99999845,0.020064741,0.999999404,0.999991179,0.117354073,0.012520413,0.022385465,1,0.002512632,0.007804239,0.963608503,0.007098975,0.000210987,0.99954766,0.004842148,0.005794236,0.002274602,0.001763251,0.200874507,1.98E-07,2.72E-20,0.027059842,0.041752528,0.00526083,0.977366447,0.001880829,0.001574402,0.996316016,0.999999642,7.30E-05,0.781992316,0.329503417,0.014335778,0.000227916,0.999854565,0.246969402,3.21E-07,0.001496779,3.06E-05,0.000197117,0.003402203,0.993201792,0.996421695,0.006934244,1,0.025521763,0.92264086,6.18E-06,0.973822236,0.999981523,0.979394495,0.999966741,0.320784003,0.00707679,0.063171275,4.25E-05,0.003258648,0.006513091,0.003035818,2.66E-06,0.999996305,0.999999881,0.999999285,0.01133255,0.000290923,0.000326861,0.995148957,0.004248513,0.005202412,0.003050472,0.984915376,0.000150764,0.000411243,2.91E-07,0.999992013,0.000538465,1.38E-07,1.52E-07,0.005649176,0.919792593,0.015455308,0.048430394,0.000670157,0.015031217,1,0.001593182,0.999971986,1,0.129042193,0.925438643,0.653112769,0.657970488,0.000533754,0.01514691,0.999999881,0.935209215,0.831680238,0.998507679,0.001070004,0.999977708,0.943811059,0.051707488,0.985514164,0.00333333,0.27324906,1,0.000468141,0.999587476,0.999999285,0.986531794,0.17713362,0.99999547,0.95606935,0.025856314,0.997708082,2.43E-07,1.28E-05,0.009694152,0.015780643,0.000133576,0.01996346,1,0.999427199,0.99962914,0.999861121,0.999004424,1,0.976485491,2.61E-05,0.999990702,1,1,0.036648642,0.021590939,0.412043154,0.305287093,0.999934554,1,0.007132179,0.239773437,0.000202762,0.928748727,0.999934673,0.059749097,0.012136029,3.91E-06,0.009994138,0.999949694,0.949057996,0.002193123,0.973884642,0.999927521,0.004855864,0.999999523,0.025960365,0.987820029,0.999953747,0.004327987,0.999997497,0.943045676,0.999980569,0.997331262,2.55E-05,9.51E-06,0.956836343,0.999685645,0.999993682,0.999985099,1,3.57E-05,1,0.99201411,0.999999881,0.999999523,0.037169263,0.999971509,0.999996185,5.77E-06,0.999997854,0.000289242,0.009457945,0.00534247,0.994397044,0.99300319,0.057826556,1,0.999990225
0.031302191,0.093151413,0.053517375,0.139267415,0.00198234,0.034693513,0.06276536,0.326020807,0.01610462,0.016571933,0.031909361,0.320345819,0.070145473,0.515483975,0.08543174,0.982245088,0.334286422,0.235607475,0.116906554,0.02555475,0.071618885,0.428753197,0.076633513,0.020958381,0.074234091,0.918915033,0.268875867,0.956606984,0.126489863,0.086542405,0.060587093,0.102423869,0.158697918,0.071012191,0.656339943,0.031471558,1.91E-11,0.203528509,0.087031737,0.046585083,0.06490849,0.121440664,0.650299132,0.778307378,0.967258692,0.14668259,0.282238096,0.050641239,0.005378669,0.040929399,0.983268857,0.051865838,0.082629293,0.156543165,0.026310686,0.03124438,0.037211914,0.000855817,0.000272998,0.002387105,0.999960661,0.993862987,0.217957392,0.042055953,0.753989816,0.188912705,0.298220366,0.125484988,0.042979259,0.051369183,0.167463034,0.172500432,0.032692906,0.193785548,0.028839951,0.038361367,0.101895876,0.974745929,0.349934936,0.275622278,0.064483106,0.026432076,0.089864075,0.055015437,0.005612873,0.030878499,0.910679042,0.117206737,0.036883362,0.00728169,0.040079251,0.74803865,0.110396199,0.715534806,0.046571776,0.980075002,0.094568759,0.972866774,0.372658491,0.990372896,1,0.100489736,0.065712601,1,0.06410253,0.147563964,0.020945698,0.360463798,0.100536078,0.286253721,0.056217089,0.081246294,0.116828375,0.064041846,0.030946175,0.745636284,0.044698175,0.590796053,0.370116234,0.01065235,0.112711541,1,0.023350367,0.979415119,0.041392468,0.815621316,0.009507125,0.079427525,0.091747344,0.053341836,0.133755028,0.007758385,0.051000584,0.444057226,0.023138171,0.053362224,0.023881642,1,0.054788444,0.472426921,0.775646269,0.401281863,1,0.20841378,0.107390754,0.594220936,1,1,0.047195006,0.786150336,0.047506303,0.185483292,0.125559524,1,0.308320224,0.081042603,0.975546002,0.015650222,0.357196391,0.245365426,0.995530903,0.982924938,0.027585322,0.340140074,0.10004846,0.803713441,0.999365509,0.019006599,0.09787102,1,0.317080021,0.027750816,0.217967883,0.006529328,0.216155425,0.235242859,0.751205087,0.003432581,0.032671221,0.016775718,0.096159264,0.046134647,0.046846211,0.012824221,0.366485566,0.00207513,0.13518247,0.064065903,1,0.61251986,0.991052926,0.031399705,0.201681808,0.146334589,0.125590846,0.3837291,0.004668349,0.015490064,0.160490945,0.134287521,0.471933305,1,0.062801622
7.16E-05,5.56E-06,0.04368614,0.996082783,0.999998331,0.997745097,0.991878271,0.999940991,0.022584943,0.00364882,1.77E-05,0.841142416,0.02476131,9.94E-05,2.59E-05,4.92E-05,0.996986806,0.999457777,0.007851564,0.965177,0.997625291,0.982334852,0.724181175,0.986507177,0.891028464,0.011702254,0.999900341,5.68E-06,0.999089837,0.998559773,0.996968091,0.000204545,0.004492635,0.000116752,0.997205794,0.001715995,0.999998689,0.024694296,0.997970641,7.98E-06,0.003650249,3.30E-05,7.17E-06,0.966482937,0.974285305,0.999655128,4.89E-07,0.074112915,0.991027057,0.001788682,4.41E-08,0.99983561,3.24E-06,0.999491572,0.989845634,0.927657247,6.34E-06,6.65E-06,1.51E-06,0.120845646,0.999903917,0.032964502,0.998827159,0.10161449,0.993269503,0.023961455,0.991025209,1.44E-05,0.998150408,0.070091307,2.09E-06,0.994875729,0.998632014,0.998883784,0.058875266,0.999876261,0.995285809,5.43E-08,0.019287795,0.942805469,0.285912782,0.000124984,0.999190748,0.999623299,0.95529002,9.01E-06,0.926714122,8.88E-05,0.993400753,0.931530058,0.881901026,0.944655955,5.68E-07,0.000213604,7.09E-05,0.99249506,4.18E-07,0.763918996,0.978266776,0.173538834,2.50E-08,0.011421758,0.999219418,3.15E-08,0.00022191,0.999889374,0.979961753,0.999898434,0.000107195,0.993130028,0.980089664,0.286590934,0.999558508,0.99966979,0.959884167,2.56E-05,0.998745441,0.036764257,0.999646902,0.046038151,0.997772396,6.22E-09,0.99888593,0.9999156,4.93E-05,0.999922156,0.971607983,0.24370645,0.99985981,0.981398046,0.55164659,0.940813065,0.014928919,0.999870181,0.975423753,0.998328507,0.999987245,3.85E-08,0.005271316,0.036743492,0.999797642,0.374746472,3.78E-08,0.395026565,0.8528862,0.999702036,0.409239471,0.011165573,0.416644961,7.46E-05,0.033182874,0.996719658,0.999758065,9.76E-09,0.000165301,0.024696948,0.228609994,0.99988234,0.999228358,0.005594146,0.015068395,0.027058598,0.020912902,0.999684691,0.029955301,0.023854008,0.042463794,0.012842318,0.975877643,8.71E-08,0.999910712,0.000441704,0.310578853,0.977657914,0.999750555,0.010011378,0.000230229,0.97031939,0.984380126,0.005398498,0.019933334,0.998914242,0.994979918,0.030313872,0.999879718,1.05E-06,0.998661041,0.980620921,0.019087974,0.999851823,0.023334002,0.002925459,3.76E-05,0.999694228,0.043813523,0.995070577,0.999814808,0.03133959,2.66E-06,0.999586046,3.49E-05,0.013946554,2.21E-05
0.130786955,0.286091417,0.187109768,0.98088938,0.63615942,0.418311924,0.901820958,0.548097908,0.996536255,0.393309057,0.270757884,0.781401098,0.223741159,0.057351373,0.282682747,0.164159864,0.688520074,0.947182596,0.002264885,0.476104885,0.880000114,0.051853824,0.531308472,0.697543442,0.41408807,0.074153058,0.51107496,0.439406514,0.285717189,0.509632945,0.771259248,0.417347014,0.277287722,0.954133153,0.687416852,0.336511046,0.999994516,0.700511575,0.15680933,0.997623384,0.804514468,0.316720426,0.229620099,0.011744279,0.999011636,0.648957193,0.120538242,0.694969356,0.1819354,0.194763824,0.040745392,0.839358628,0.820347667,0.695742905,0.119740985,0.154211715,0.999291182,0.009382528,0.04349342,0.074076116,0.999997377,0.972638369,0.305861503,0.472987115,0.804000139,0.9368487,0.730757654,0.766552567,0.006560199,0.444594175,0.089690171,0.0562209,0.214967325,0.79717803,0.110958077,0.000534192,0.68500042,0.232477903,0.772770822,0.391043484,0.495491356,0.00432945,0.017064966,0.213663965,0.993810117,0.056711536,0.899432361,0.071327023,0.815363228,0.931827247,0.5165084,0.035109777,0.945565283,0.658058286,0.563087761,0.152891472,0.141365916,0.125219539,0.139529631,0.824111521,0.105887301,0.117875382,0.259753108,0.654636383,0.742669165,0.714375257,0.833020329,0.689963698,0.135112405,0.049458787,0.745437682,0.543081522,0.343876123,0.273282051,0.861357927,0.44462648,0.022326529,0.280142277,0.696352899,0.85516417,0.131116495,0.761709571,0.265331328,0.162232026,0.866120934,0.699836612,0.956040144,0.794094563,0.776944995,0.981193066,0.22009325,0.363147587,0.336180449,0.999928713,0.810085177,0.029508561,0.810020804,0.889468431,0.818520069,0.298136234,0.911354959,0.647943437,0.93637687,0.333448887,0.437767118,0.469594032,0.927673995,0.991709769,0.701589584,0.804886103,0.114179514,0.13116391,0.052197762,0.900853753,0.220327199,0.000712556,0.476504922,0.809565246,0.782629073,0.86412698,0.33290419,0.22559166,0.598030448,0.049378186,0.834640265,0.926250219,0.496202797,0.738679111,0.127752244,0.832182646,0.087786853,0.812261224,0.011429141,0.75118047,0.765460789,0.228853479,0.597345352,0.08611276,0.798971891,0.364755839,0.881795228,0.08705157,0.643769324,0.992448688,0.841544509,0.203623518,0.590256572,0.263872921,0.976684809,0.164895386,0.179716393,0.737890005,0.937372565,0.001053081,0.72115761,0.04343063,0.261137009,0.397608012,0.014482847,0.009297763,0.048182413,0.992558122,0.154101804
0.011144828,0.010880008,0.990571856,0.050939474,0.001048979,0.999917746,0.01312421,0.001681865,0.864288092,0.014918075,0.263286442,0.026231855,0.006818909,0.991366565,0.007849106,0.013389548,0.01890355,0.994575143,0.984136462,0.040498853,0.036095437,0.01167545,0.976631939,0.0118501,0.118996963,0.832840502,0.430011511,0.005877507,0.006751352,0.995789349,0.303848326,0.99121207,0.00237371,0.998601854,0.027881615,0.991344333,0.999978065,0.001798455,0.006147329,0.008501707,0.962295532,0.003715243,0.020940917,0.008178014,0.12499395,0.998484671,0.036784485,0.921472847,0.00193998,0.999931216,0.995983362,0.22523804,4.32E-06,0.964062214,0.001578955,0.002138281,0.01738164,0.01099981,0.984734654,0.001660827,0.977701545,0.008547918,0.024586905,0.875536025,0.034891225,0.909110487,0.043751009,0.881395459,0.9998191,0.008743206,0.073785037,0.002127193,0.097912312,0.368451059,0.000268685,0.000294191,0.004898581,0.012283436,0.384703487,0.002109525,0.999929547,0.9984622,0.164268941,0.003212043,0.013054661,0.000381524,0.011987387,0.998931348,0.999964476,7.77E-06,0.044352222,0.00567709,9.06E-06,5.91E-06,0.990811348,0.831386328,0.025038077,0.027575564,0.005281437,0.001015763,0.998204947,0.088591352,0.58803916,0.005402025,0.7631827,0.553170264,0.012679346,0.956184983,0.957450867,0.98655951,0.862029552,0.314540595,0.141732454,0.995351553,0.89163053,0.02326224,0.98450309,0.257030755,0.041321207,0.249243349,0.991643727,0.000444231,0.938421369,0.586394608,0.908397138,0.899620175,0.022340028,0.037318047,0.756399214,0.247631058,0.015553684,0.993685067,0.987227261,0.024129355,0.320119977,0.737751663,0.067516677,0.003553,0.916970551,0.997753561,0.938075602,0.444809169,0.040165551,0.954999983,0.986661971,0.954823196,0.603453159,0.901983023,0.90438056,0.991646349,0.984727502,0.038821165,0.697022915,0.836014569,0.988767087,0.999832392,0.911993086,0.959688544,0.02556996,0.981631875,0.011331422,0.995724559,0.991048038,0.065999471,0.589861333,0.894344866,0.164221495,0.997899771,0.088430047,0.941698313,0.991365433,0.968448937,0.10320811,0.964354336,0.055040535,0.988590658,0.949421942,0.979376554,0.321899712,0.001839987,0.010020498,0.025685368,0.017619165,0.097380146,0.004022131,0.983236253,0.011264911,0.402940005,0.77172488,0.989524424,0.952597737,0.294646412,0.147119805,0.000307865,0.036318175,0.990441203,0.004199262,0.073032707,0.005784293,0.999305964,0.054102257,0.926378548,0.003855092
